Name,URL,Price,Rating
"Dell Inspiron 15 I3567-5949BLK-PUS Laptop (Windows 10, Intel i5-7200U, 15.6"" LED Screen, Storage: 256 GB, RAM: 8 GB) Black",/Dell-Inspiron-i3567-5949BLK-PUS-i5-7200U-Notebook/dp/B07K9Y9NZV/ref=sr_1_52?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-52,"457
.",3.8 out of 5 stars
Dell Laptop AC Adapter Charger 65 Watt 19.5v 3.34a LA65NS2-01 Compatible with 09RN2C 6TM1C HA65NS5-00 A065R039L 7.4mm Tip,/Dell-LA65NS2-01-Compatible-HA65NS5-00-A065R039L/dp/B00B3BVRHK/ref=sr_1_51?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-51,"22
.",
"Dell 2018 Newest Business Flagship Inspiron Laptop PC 15.6"" FHD Truelife Display Intel i7-8550U Processor 12GB DDR4 RAM 128GB SSD+1TB HDD Backlit-Keyboard DVD-RW Intel UHD 620 Graphics Windows 10",/Dell-Business-Flagship-Processor-Backlit-Keyboard/dp/B07D6156TT/ref=sr_1_52?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-52,"730
.",
"Dell Inspiron 5570 15.6in FHD Touchscreen Laptop PC - Intel Core i7-8550U 1.8GHz, 12GB, 1TB HDD, DVDRW, Webcam, Bluetooth, Intel HD 620 Graphics, Windows 10 Home (Renewed)",/Dell-Inspiron-5570-Touchscreen-Laptop/dp/B07FKRFTYW/ref=sr_1_53?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-53,"528
.",4.2 out of 5 stars
"Dell Inspiron 14 2 In 1 Laptop 14"" HD (1366 X 768) Touchscreen|8th Gen Intel Core i3-8145U Processor| 4GB RAM|128 SSD | Windows 10 | i5481-3595GRY",/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_54?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-54,"431
.",
"Dell Inspiron HD 15.6"" LED-Backlit Display Laptop | Intel Pentium N5000 Quad Core | 4GB DDR4 RAM | 500GB HDD | Webcam | Card Reader | HDMI | USB 3.0 | Windows 10 | MaxxAudio",/Dell-Inspiron-LED-Backlit-Display-MaxxAudio/dp/B07HG1TZ5G/ref=sr_1_55?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-55,"323
.",
"Dell Inspiron 5000 15.6"" Full HD Touchscreen Laptop, Intel Core i3-8130U up to 3.40GHz, 8GB Memory, 256GB Solid State Drive, Backlit Keyboard, Wireless-AC, Windows 10, Black",/Dell-Inspiron-Touchscreen-i3-8130U-Wireless-AC/dp/B07QTCX37J/ref=sr_1_56?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-56,"506
.",
Dell Latitude E6420 Laptop - HDMI - i5 2.5ghz - 4GB DDR3 - 320GB - DVD - Windows 10 64bit - (Renewed),/Dell-Latitude-E6420-Laptop-Windows/dp/B01FWKBZP6/ref=sr_1_57?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-57,"189
.",
"2019 Newest Dell Vostro Flagship Laptop Notebook Computer 15.6"" FHD Display Intel Core i7-7500U Processor 16GB DDR4 RAM 512GB SSD NVIDIA GeForce 940MX Bluetooth HDMI Windows 10 Pro",/Dell-Flagship-Notebook-Processor-Bluetooth/dp/B07PPDQY72/ref=sr_1_58?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-58,"898
.",
"Dell Latitude E6440 14in Laptop, Core i5-4300M 2.6GHz, 8GB Ram, 256GB SSD, DVDRW, Windows 10 Pro 64bit (Renewed)",/Dell-Latitude-E6440-Certified-Refurbished/dp/B07GCS4YTY/ref=sr_1_61?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-61,"242
.",4.2 out of 5 stars
"Dell XPS 15 9570-8th Generation Intel Core i7-8750H Processor, 4k Touchscreen display, 16GB DDR4 2666MHz RAM, 512GB SSD, NVIDIA GeForce GTX 1050Ti, Windows 10 Home, Gaming Capable",/Dell-9570-8th-Generation-Processor-Touchscreen/dp/B07N82R4XZ/ref=sr_1_62?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-62,"1,584
.",
"Dell Inspiron C3181-C871BLK-PUS Laptop (Windows 10, Intel N3060, 11.6"" LCD Screen, Storage: 16 GB, RAM: 4 GB) Black",/Dell-11-6-inch-Chromebook-Intel-N3060/dp/B07HLD2VQH/ref=sr_1_63?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-63,"156
.",3.9 out of 5 stars
"Dell Inspiron 11.6 Laptop, Dell 11 3000 11.6"" HD Touchscreen 2-in-1 Premium 2019, AMD A9-9420e, 4GB DDR4, 500GB HDD, HDMI BT 4.0 WiFi USB 3.1 HD Webcam MaxxAudio Win 10",/Dell-Inspiron-Touchscreen-A9-9420e-MaxxAudio/dp/B07KZ7L12F/ref=sr_1_64?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-64,"309
.",
"Dell Inspiron 15 5584 | 8th Gen Intel(R) Core(Tm) i3-8145U Proc(4Mb Cache, up to 3.9 GHz) | 4GB RAM | 256SSD",/Dell-Inspiron-Intel-i3-8145U-256SSD/dp/B07QF6H27W/ref=sr_1_65?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-65,"499
.",4.1 out of 5 stars
"Newest Dell Inspiron 15 5000 15.6"" Full HD Touchscreen (1920x1080) Premium Business Laptop - 8th Gen Intel Quad-Core i5-8250U, 8GB DDR4, 1TB HDD, HDMI, Wi-Fi AC, Ethernet RJ-45, Windows 10",/Dell-Inspiron-15-Touchscreen-Laptop/dp/B07KWKL25R/ref=sr_1_66?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-66,"513
.",
"Dell Inspiron 15 5000 Series 15.6"" HD Laptop, Intel Core i7-7500U, 20GB Memory (4GB DRAM + 16GB Intel Optane Memory), 1TB HDD, Windows 10 - Silver - i5570-7987SLV",/Dell-Inspiron-Laptop-i7-7500U-Windows/dp/B07L6VD4XB/ref=sr_1_67?keywords=dell+laptop&qid=1564683541&s=gateway&sr=8-67,"569
.",
